time,sender_id,telephone_number_type,original_network_name,original_network_country,text,translation,language,url_shortener,named_entity,scam_type,lure_principles
2023-01-12,phone number,MOBILE,Vodafone,ESP,"CaixaBank : Estimado cliente, <NAMED_ENTITY>bloqueada el <DATE_TIME>. <NAMED_ENTITY> el nuevo sistema de seguridad de su tarjeta : https:// <URL> IN","CaixaBank: Dear customer, your card will be blocked on <DATE_TIME>. Access to verify the new security system of your card: https:// <URL> IN",Spanish,,CaixaBank,banking,"authority,time/urgency"
2023-01-09,phone number,MOBILE,SFR,FRA,"NETFLIX : <NAMED_ENTITY> dernier paiment a été rejeté, vous devez mettre à jour vos informations pour continuer d'utiliser nos services. <URL>","NETFLIX: Your last payment was declined, you need to update your information to continue using our services. <URL>",French,,Netflix,others,"authority,time/urgency"
2022-11-18,phone number,MOBILE,Orange Belgium,BEL,"I got a strange SMS from <PHONE_NUMBER> on my company phone. It is in <NRP>, claim to be [FOD] and asking to click on <URL>","I got a strange SMS from <PHONE_NUMBER> on my company phone. It is in <NRP>, claim to be [FOD] and asking to click on <URL>",Dutch,bit.do,fod,government,"authority,time/urgency"
2022-11-12,phone number,MOBILE,O2 (UK),GBR,"Hi Mum | smashed my phone and I'm using a friends phone to message you and phone is about to die Could you message me on WhatsApp, my new number is <PHONE_NUMBER>",,English,,,hey mum/dad,"kindness,time/urgency"
2022-11-12,phone number,MOBILE,O2 (UK),GBR,Apple: Your Apple Pay has been suspended due to unusual activity. Please visit: <URL> to reactivate your wallet.,,English,,apple,banking,"authority,time/urgency"
2022-09-13,phone number,MOBILE,O2 (UK),GBR,"Apple: We have detected unusual activity on your account and suspended it due to security reasons, visit https://apple-",,English,,apple,others,"authority,time/urgency"
2022-09-09,phone number,MOBILE,Orange,ROU,Energia electricà este planificatà sà fie oprità in <DATE_TIME>! <NAMED_ENTITY> rugàm sà <NAMED_ENTITY> datorie: https: //tinyurl .com/RO19f5,Electricity is scheduled to be shut down on <DATE_TIME>! Please pay your debt: <URL>,Romanian,tinyurl.com,,others,"authority,time/urgency"
2022-09-09,phone number,MOBILE,Vodafone,ROU,Energia electrica este planificata sa fie oprita in <DATE_TIME>! <LOCATION> rugam <LOCATION> platiti creanta: https:// <URL>,The electricity is planned to be shut off on <DATE_TIME>! Please pay your debt: https:// <URL>,Romanian,tinyurl.com,,others,"authority,time/urgency"
2022-09-05,phone number,MOBILE,Vodafone,ESP,"A Partir del <DATE_TIME>, No puede utilizar su tarjeta <NAMED_ENTITY> activzar el nuevo sistema de seguridad web: https:// <URL>","From <DATE_TIME>, You cannot use your card. You need to activate the new web security system: https:// <URL>",Spanish,bit.do,CaixaBank,banking,"authority,time/urgency"
2022-09-01,phone number,MOBILE,Free Mobile,FRA,<NAMED_ENTITY>. Bitte überprüfen und akzeptieren Sie es rechtzeitig. <URL>?kzg164,Your package has been delivered. Please check and accept it in time. <URL>?kzg164,German,,,delivery,"distraction,time/urgency"
2022-08-10,phone number,MOBILE,OMNIPOINT MIAMI     ,USA,"Alert!! Your Cloudflare schedule has been updated, Please tap <URL> to view your changes.",,English,,cloudflare,others,"authority,time/urgency"
2022-08-05,phone number,MOBILE,Bell Mobility,CAN,Our services were severely disrupted <DATE_TIME>. We're compensating everyone affected with a $50.00 CAD indemnity. Sorry for the inconvenience we may have caused you.,,English,,,others,need and greed
2022-08-05,phone number,MOBILE,T-Mobile,USA,"US Post) - Your courier is stuck at the transit center, fill in the delivery address and re-deliver: <URL>",,English,,us post,delivery,"authority,time/urgency"
2022-08-05,phone number,MOBILE,Telstra,AUS,"Please confirm your shipment details, otherwise your item will be sent back to the sender: <URL>",,English,,,delivery,"distraction,time/urgency"
2022-07-28,phone number,MOBILE,Smart,KHM,Welcome to the world of adult Dating <URL>,,English,,,spam,need and greed
2022-07-22,phone number,BAD_FORMAT,,,AN POST: Your package has a €1.90 unpaid fee. To pay this visit <URL> . If this is not paid the package will be returned.,,English,,an post,delivery,"authority,time/urgency"
2022-07-20,phone number,BAD_FORMAT,,,AN POST: Your package has a €1.90 unpaid fee. To pay this visit <URL> If this is not paid the package will be returned to sender.,,English,,an post,delivery,"authority,time/urgency"
2022-07-14,phone number,MOBILE,Liffey Telecom,IRL,AN POST: Your package has a €1.90 unpaid fee. To pay this visit <URL> . If this is not paid the package will be returned.,,English,,an post,delivery,"authority,time/urgency"
2022-07-13,phone number,BAD_FORMAT,,,Welcome to the world of adult Dating <URL>,,English,,,spam,need and greed
2022-07-06,phone number,MOBILE,Bell Mobility,CAN,"<UBERsMESSAGE> Did you recently sign in from anew device near <LOCATION>,<LOCATION>? **If this wasn't you, see hitps://",,English,,uber,others,"authority,time/urgency"
2022-07-01,phone number,VOIP,Onvoy,USA,We've issued you a $258.44 tax refund for overpayments made in <DATE_TIME>. Check the details. <URL>,,English,,IRS,government,"authority,need and greed,time/urgency"
2022-06-30,phone number,MOBILE,O2 (UK),GBR,"You've been exposed to someone with <NAMED_ENTITY> (Omicron). You are required to take immediate action, to order a PCR test, visit: health-care- <URL>",,English,,,others,"authority,time/urgency"
2022-06-29,alphanumeric,,,,Netflix : Le prélevement de votre facture a échoué. Veuillez mettre a jour vos informations sur notre site : <URL>,Netflix: The payment of your bill has failed. Please update your information on our site: <URL>,French,,Netflix,others,"authority,time/urgency"
2022-06-29,alphanumeric,,,,"Hemos retenido una transferencia por el importe de 1900 eur, si no ha sido usted acceda inmediatamente: <URL>ncelar <URL>","We have withheld a transfer for the amount of 1900 euros, if it was not you, access immediately: <URL>ncelar <URL>",Spanish,,,banking,"authority,time/urgency"
2022-06-23,alphanumeric,,,,<NAMED_ENTITY> version de Android no sera compatible con nuestra proxima actualizacion de banca movil. <NAMED_ENTITY> autenticador de dos pasos: https://bbva <URL> les/quide,Your Android version will not be compatible with our next mobile banking update. Read more about our two-step authenticator: https://bbva <URL> les/quide,Spanish,,BBVA,banking,"authority,time/urgency"
2022-06-23,phone number,MOBILE,Vodafone,ITA,I tuo pacco e stato trattenuto presso il nostro centro di spedizione. <NAMED_ENTITY> istruzioni qui: <URL>,Your package has been held at our shipping center. Please follow the instructions here: <URL>,Italian,,,delivery,time/urgency
2022-06-20,phone number,BAD_FORMAT,,,We identified you as a contact of someone who recently tested positive for Omicron. You must order a home test kit. Please visit:,,English,,,others,"authority,time/urgency"
2022-06-15,phone number,MOBILE,O2 (UK),GBR,"RoyalMail: Sorry you have not accepted the 2.99 (GBP), Choose another delivery date: https:// $code lanfeT bata AC 1eh se AeA)",,English,,royalmail,delivery,"authority,need and greed,time/urgency"
2022-06-14,phone number,MOBILE,Vodafone,AUS,Your <NAMED_ENTITY> account is temporarily locked. Verify yourself to get unrestricted. <LOCATION>,,English,bit.ly,zippay,banking,"authority,time/urgency"
2022-06-03,phone number,LANDLINE,BANDWIDTH.COM - WI  ,USA,"<NAMED_ENTITY>, | need to know if you are available in a split second. | am at a meeting and limited to calls, but |am good to go with texts if that works. Need you to handle a task. Thanks",,English,,,wrong number,"distraction,time/urgency"
2022-05-29,phone number,BAD_FORMAT,,,"Ηello аll, guуsǃ I knоw, my mesѕаge maу bе toо sрeсifіc, Βut mу sіstеr fоund nісе <NAMED_ENTITY> and theу mаrrіed, ѕо how аbout me?! :) I аm 25 уеars оld, Natalіа, frоm <LOCATION>, Ι knоw Εnglіsh and <NRP>",,English,,,spam,
2022-05-23,phone number,MOBILE,OMNIPOINT COMM CAP  ,USA,Citizens: We are contacting you about an Exxon-Mobil charge made with you card. Visit https://,,English,,exxon-mobil,banking,"authority,time/urgency"
2022-05-19,phone number,MOBILE,EE Limited (Orange),GBR,"APPLE: Apple Pay was deactivated on your device. To reactivate, visit the link immediately: https://resubmit- <URL>",,English,,apple,banking,"authority,time/urgency"
2022-05-17,phone number,BAD_FORMAT,,,<DATE_TIME> your parcel but no one answered. Reschedule & track parcel at: https://postoffice <URL>,,English,,,delivery,time/urgency
2022-05-17,alphanumeric,,,,<NAMED_ENTITY> Per Evitare La Sospensione <NAMED_ENTITY>,It is suspended To avoid suspension Click On,Italian,,,others,time/urgency
2022-05-17,phone number,MOBILE,Bouygues,FRA,"Assurance Maladie : Expiration de votre carte vitale, 4 mettre a jour impérativement.","Health Insurance: Expiration of your health card, to update urgently.",French,,assurance maladie,government,"authority,time/urgency"
2022-05-17,alphanumeric,,,,"<NAMED_ENTITY>, <NAMED_ENTITY> a tua visita! A tua satisfacao é o nosso maior objectivo, responde 2 questoes <NAMED_ENTITY>-<US_DRIVER_LICENSE>-e","<NAMED_ENTITY>, We loved your visit! Your satisfaction is our main objective, answer 2 questions about your experience",Portuguese,2ln.me,,spam,"distraction,need and greed"
2022-05-17,alphanumeric,,,,"<URL> ZofHB08b2QA83Y9tzOm Amazon: Sign-in from I, GR. Tap link to respond.",,English,,Amazon,others,authority
2022-05-17,phone number,MOBILE,Vodafone,ITA,"INPS: Pagamento di 956 EURO fallito per mancanza di aggiornamento dati bancari, <NAMED_ENTITY>:","<NAMED_ENTITY>: Payment of 956 EURO failed due to lack of bank data update, update now:",Italian,,inps,government,"authority,time/urgency"
2022-05-12,phone number,BAD_FORMAT,,,"Salutare,  <NAMED_ENTITY>.  Am găsit datele firmei online, și vin cu propunerea de a-ți extinde vânzările și recunoașterea","Hello, my name is <NAMED_ENTITY> and I am contacting you on behalf of DMM - a marketing and IT company. I found your company details online, and I am proposing to expand your sales and recognition.",Romanian,,dmm,spam,
2022-05-11,phone number,MOBILE,Viettel Mobile,VNM,"<NAMED_ENTITY> schnellen Barkredit? Ob für eine <NAMED_ENTITY> (Krankheitskosten, <NAMED_ENTITY>, Reparaturkosten usw.) oder für ein Projekt, eine Investitionsmöglichkeit usw.)* Wir","Do you need a quick cash loan? Whether for an emergency situation (medical expenses, vehicle replacement costs, repair costs, etc.) or for a project, an investment opportunity, etc.)* We",German,,,banking,"need and greed,time/urgency"
2022-05-09,phone number,MOBILE,Optus,AUS,You've got a new voice message from your insurance company http://,,English,,insurance company,others,authority
2022-05-09,alphanumeric,,,,Deutsche Bank Informa che ha limitato la sua carta/conto permancata verifica della sicurezza web Riattiva Qui: <URL>,Deutsche Bank informs that it has limited your card/account due to a lack of web security verification. Reactivate Here: <URL>,Italian,urlz.fr,Deutsche Bank,banking,"authority,time/urgency"
2022-05-09,phone number,BAD_FORMAT,,,<DATE_TIME> your parcel but no one answered. Reschedule & track parcel at: https://postoffice <URL>,,English,,,delivery,time/urgency
2022-05-02,alphanumeric,,,,"Sistemalosicuro è stata richiesta un autorizzazione di spesa per euro 251,78 se non è stata lei seguire il link correlato: https://persoper .me/conferma/",Sistemalosicuro requested an expenditure authorization for EUR 251.78 if it was not you follow the related link: <URL>,Italian,,sistemalosicuro,banking,"authority,time/urgency"
2022-05-02,phone number,MOBILE,O2 (UK),GBR,NHS-ALERT: We identified you as a contact of someone who recently tested positive for Omicron. You must book a home test kit: per-,,English,,nhs,government,"authority,time/urgency"
2022-04-28,phone number,MOBILE,Bouygues,FRA,"Assurance Maladie : Expiration de votre carte vitale, 4 mettre a jour impérativement.","Health Insurance: Expiration of your vital card, urgently update.",French,,assurance maladie,government,"authority,time/urgency"
2022-04-28,phone number,MOBILE,O2 (UK),GBR,"Hey M>itchel:|, | wanted to see if you are still interested in this >> <URL> t29zq1r",,English,,,spam,need and greed
2022-04-26,phone number,MOBILE,Vodafone,ROU,Ai un nou mesaj vocal de la prietenii tăi,You have a new voicemail from your friends,Romanian,,,wrong number,distraction
2022-04-14,phone number,BAD_FORMAT,,,USPS: the scheduled delivery for the package 4x381ba has been changed. Please confirm here: <URL>,,English,,USPS,delivery,"authority,time/urgency"
2022-04-14,phone number,MOBILE,Vodafone,ESP,"CORREOS EXPRESS: su paquete sigue retenido en aduanas por impago de las tasas (1,79€) puede pagarlos en el siguiente enlace:",CORREOS EXPRESS: your package is still held at customs due to unpaid fees (€1.79) you can pay them at the following link:,Spanish,,Correos,delivery,"authority,time/urgency"
2022-04-14,alphanumeric,,,,Un dispositivo no autorizado se ha conectado a su cuenta online. <NRP> reconoce este acceso verifique inmediatamente. <URL>- <URL>,"An unauthorized device has connected to your online account. If you do not recognize this access, verify immediately. <URL>- <URL>",Spanish,,BBVA,banking,"authority,time/urgency"
2022-04-13,phone number,LANDLINE,,SGP,"SingaPost : Your Reffrence Number <US_BANK_NUMBER> Is ready for collection, Or you can add an address if you want to receive your item by post <URL> 8Kefks40G9",,English,t.co,singapost,delivery,authority
2022-03-30,phone number,MOBILE,Liffey Telecom,IRL,BOI: We have temporarily restricted access to your account due to suspicious activity. Please visit <URL>,,English,,Bank of India,banking,"authority,time/urgency"
2022-03-30,phone number,BAD_FORMAT,,,"Нellо all, guуsǃ I knоw, my mesѕаge mаy be too ѕpeсіfіс, Вut mу sіstеr found nісe mаn hеrе and they married, ѕо <NAMED_ENTITY> mе?! :) I am 27 уearѕ old, <NAMED_ENTITY>, frоm Ukrаіne, I knоw <NAMED_ENTITY> аnd <NAMED_ENTITY>","Hello all, guys I know, my message may be too specific, But my sister found nice man here and they married, so how about me?! :) I am <DATE_TIME>, <NAMED_ENTITY>, from <LOCATION>, I knew English and <NRP>",Russian,,,wrong number,kindness
2022-03-29,phone number,MOBILE,Vodafone,ESP,"[ Correos ]: Su paquete no podra entregarse porque no se <NAMED_ENTITY> las uutasas de aduanas (1,79 €) Siga las instrucciones: https:// <URL>",[ Correos ]: Your package cannot be delivered because customs fees (€1.79) have not been paid. Follow the instructions: <URL>,Spanish,,Correos,delivery,"authority,distraction,time/urgency"
2022-03-10,phone number,MOBILE,T-Mobile,USA,"You have sent a payment of $199.99 to <NAMED_ENTITY>. If you did not authenticate this transaction, check here",,English,,,banking,"authority,time/urgency"
2022-03-09,alphanumeric,,,,"ATTENZIONE: <LOCATION> rilevato un accesso <NAMED_ENTITY> mobile banking, segua la procedura di verifica al seguente link <URL> UniCredit APP","WARNING: We have detected an unusual access to your mobile banking, follow the verification procedure at the following link <URL> UniCredit APP",Italian,is.gd,unicredit,banking,"authority,time/urgency"
2022-03-08,phone number,MOBILE,Telstra,AUS,From ASB: A new Nokia <US_DRIVER_LICENSE> has been registered on your ASB app. Not you? Please visit,,English,,asb,banking,"authority,time/urgency"
2022-03-07,phone number,MOBILE,T-Mobile,USA,"USP! When the package arrives, the courier cannot find you. Would you like to schedule a redelivery?",,English,,usp,delivery,"need and greed,time/urgency"
2022-03-04,phone number,MOBILE,VTR Móvil,CHL,"Banco de Chile - DigiPass desactivado, para autorizar transacciones y evitar bloques, valide datos para reactivar dispositivo: <URL>","Banco de Chile - DigiPass deactivated, to authorize transactions and avoid blocks, validate data to reactivate device: <URL>",Spanish,,banco de chile,banking,"authority,time/urgency"
2022-03-02,phone number,MOBILE,Bell Mobility,CAN,"<NAMED_ENTITY> Canadiens qui ont contracté le COVID, le programme prestation canadienne de maladie et de rétablissement vous offre 240$.","To support <NRP> who have contracted COVID, the <NRP> illness and recovery benefit program offers you $240.",French,,canadian illness and recovery benefit program,government,"authority,need and greed"
2022-02-27,alphanumeric,,,,"<NAMED_ENTITY>, abbiamo sospeso le sue utenze, riattivale <NAMED_ENTITY> form:<URL>eview-domain .com/pst","Dear customer, we have suspended your utilities, reactivate them using the following form: <URL>",Italian,,,others,"authority,time/urgency"
2022-02-25,phone number,MOBILE,Lycamobile,FRA,"Ton nouvelle carte vitale est disponible, veuillez remplir le formulaire pour continuer a etre couvert: <URL>","Your new health insurance card is available, please fill out the form to continue being covered: <URL>",French,bit.ly,,government,"authority,time/urgency"
2022-02-22,phone number,MOBILE,Optus,AUS,€ PARCEL-<US_DRIVER_LICENSE> IS PENDING - Please confirm item! Track: <URL> Pee,,English,bit.ly,,delivery,time/urgency
2022-02-21,phone number,MOBILE,Orange Belgium,BEL,<NAMED_ENTITY> onderstaande link: <URL>,Reactivating can be done easily via the link below: <URL>,Dutch,,,others,time/urgency
2022-02-21,phone number,MOBILE,Orange Belgium,BEL,<NAMED_ENTITY> /betaling-en-teruggave/ontvangen/ 19:02,<URL> <DATE_TIME>,Dutch,,finance belgium,banking,"authority,time/urgency"
2022-02-17,phone number,LANDLINE,,DEU,"Beste, De Federale Overheidsdienst heeft beslist dat u en terugbetaling ontvangt van €278.35 Om dit bedrag te ontvangen kunt u op one website terecht. <URL> /betaling-en","Dear, The Federal Public Service has decided that you will receive a refund of €278.35 To receive this amount, you can visit our website. <URL>",Dutch,,federal public service,government,"authority,need and greed,time/urgency"
2022-02-17,alphanumeric,,,,We have detected unusual login attempts on your account. You can avoid restrictions by visiting https:// <URL>,,English,,unknown,banking,"authority,time/urgency"
2022-02-14,phone number,MOBILE,O2 (UK),GBR,NHS: You've have been in close contact with a person who has Omicron. Please order a Test Kit: https://nhs-omicron- <URL>,,English,,nhs,government,"authority,time/urgency"
2022-02-14,phone number,MOBILE,Virgin Mobile,GBR,You have been in close contact with someone who has the Omicron Variant. You must order a free PCR testing kit here: <URL>quest- <URL>,,English,,nhs,government,"authority,time/urgency"
2022-02-14,phone number,MOBILE,O2 (UK),GBR,NHS: You've been near someone with the Omicron Variant. Apply for a Test Kit <DATE_TIME>: https://urgent-test- <URL>,,English,,nhs,government,"authority,time/urgency"
2022-02-10,phone number,LANDLINE,,HUN,We want to send dinner to you because you are valued by us. Use this when you are ready to order and we got,,English,,,spam,need and greed
2022-02-10,phone number,MOBILE,RADIOMOVIL DIPSA/TELCEL/AMERICA MOVIL,MEX,"<NAMED_ENTITY>__: Tienes que actualizar tu suscripcion, para hacerlo ahora inicia sesion y sigue disfrutando: $<URL>","NOTICE__Netflix__: You need to update your subscription, to do it now log in and continue enjoying: $<URL>",Spanish,,Netflix,others,"authority,time/urgency"
2022-02-10,phone number,BAD_FORMAT,,,Sign on <DATE_TIME> for a possible 7-figure check before the final verdict is reached,,English,,,spam,"need and greed,time/urgency"
2022-02-07,phone number,BAD_FORMAT,,,"| Mrs.<NAMED_ENTITY> from <LOCATION> contact me on this email: <NAMED_ENTITY> .com immediately It's an interesting discussion i have for you,IT IS URGENT REPLY ME NOW",,English,,,others,"distraction,time/urgency"
2022-02-02,phone number,MOBILE,O2 (UK),GBR,NHS: You've have been in close contact with a person who has Omicron. Please order a Test Kit: https://nhs-omicron- <URL>,,English,,nhs,government,"authority,time/urgency"
2022-01-27,phone number,MOBILE,TIM,ITA,ll tuo ordine é trattenuto presso il nostro centro di distribuzione. <NAMED_ENTITY> istruzioni qui:,Your order is held at our distribution center. Please follow the instructions here:,Italian,,,delivery,"distraction,time/urgency"
2022-01-23,phone number,LANDLINE,,MYS,You just sent a payment of $12.60 USD to <NAMED_ENTITY>. If you don't recognize this,,English,,,banking,"authority,time/urgency"
2022-01-18,phone number,MOBILE,Orange Belgium,BEL,Uw Itsme account is geblokkeerd wegens een verdachte inlog poging. Volg onze verificatie stappen voor <DATE_TIME> om definitief blokkeren te voorkomen via : <URL>,Your Itsme account is blocked due to a suspicious login attempt. Follow our verification steps before <DATE_TIME> to prevent permanent blocking via: <URL>,Dutch,,itsme,others,"authority,time/urgency"
2022-01-14,phone number,BAD_FORMAT,,,"Bună ziua,  <NAMED_ENTITY> și vă contactez de la DMM, companie de marketing și IT.  Am găsit datele firmei online, și venim cu o propunere de a vă extinde vânzările și recunoașt","Hello, My name is <NAMED_ENTITY> and I am contacting you from DMM, a marketing and IT company. I found the company's data online, and we come with a proposal to expand your sales and recognition.",Romanian,,dmm,spam,
2022-01-14,alphanumeric,,,,<NAMED_ENTITY> realizado un pago desde su cuenta si no fue usted visite: <URL>,A payment has been made from your account if it was not you visit: <URL>,Spanish,,Santander Bank,banking,"authority,time/urgency"
2022-01-14,phone number,MOBILE,Vodafone,ITA,INFOPOSTE ATTENZIONE! <NAMED_ENTITY> Sospeso Per Evitare La Sospensione Clicca Su' <URL>,INFOPOSTE ATTENTION! Your Account Will Be Suspended To Avoid Suspension Click On <URL>,Italian,,poste italiane,banking,"authority,time/urgency"
2022-01-10,phone number,BAD_FORMAT,,,You've been selected to receive 100.00$ /Amazon/. Press 1 to accept,,English,,Amazon,spam,need and greed
2022-01-02,phone number,MOBILE,AT&T,USA,"ATT Free Msg: <DATE_TIME> bill is paid. Thanks, Here's a little",,English,,att,others,
2021-12-16,phone number,MOBILE,Vodafone,ESP,"CaixaBank: Lamentamos informarle que su cuenta ha sido desactivada por seguridad, para activarla complete <LOCATION> verificacion: <URL> IR76bQD","CaixaBank: We regret to inform you that your account has been deactivated for security reasons, to activate it complete the following verification: <URL>",Spanish,cutt.ly,CaixaBank,banking,"authority,time/urgency"
2021-12-10,alphanumeric,,,,"Parabns por <NAMED_ENTITY> para um emprego de meio periodo online, 300,00 por dia, entre em c ontato comigo WS:","Congratulations on being selected for an online part-time job, 300.00 per day, contact me WS:",Portuguese,,,spam,need and greed
2021-12-09,alphanumeric,,,,"Due to a violation of our terms and conditions, your online has been limited. To reactivate please visit: https:// <URL>",,English,,,banking,"authority,time/urgency"
2021-12-09,phone number,BAD_FORMAT,,,"Hallo, wir warten auf eine Aktion ; <NAMED_ENTITY>, * um Ihr <NAMED_ENTITY> zuzustellen: http:/Avww...","Hello, we are waiting for an action from you * to deliver your package: http:/Avww...",German,,,delivery,time/urgency
2021-12-09,phone number,MOBILE,Orange Belgium,BEL,"Uw openstaande schuld is na meerdere herinneringen, <NAMED_ENTITY>. <DATE_TIME> december 2021 <NAMED_ENTITY>. U kunt de beslagprocedure voorkomen door direct het g","Your outstanding debt has not been paid after several reminders. On <DATE_TIME>, the bailiff will proceed to a conservatory seizure. You can prevent the seizure procedure by immediately",Dutch,,,others,"authority,time/urgency"
2021-12-09,phone number,MOBILE,Movistar,ESP,<NAMED_ENTITY> No puedes utilizar su <URL>tivar la nueva sistema de seguridad ahora: <URL>,From <DATE_TIME> you cannot use your account. Activate the new security system now: <URL>,Spanish,bit.ly,,banking,time/urgency
2021-12-07,alphanumeric,,,,"<NAMED_ENTITY>, abbiamo bloccato le sue carte per movimentazione sospetta, segua la procedura di verifica","Dear customer, we have blocked your cards due to suspicious activity, please follow the verification procedure",Italian,,,banking,"authority,time/urgency"
2021-12-07,phone number,BAD_FORMAT,,,"CaixaBank: Lamentamos informarle que su cuenta ha <NAMED_ENTITY>, y por su seguridad le pedimos que complete la siguiente verificacién: <URL>","CaixaBank: We regret to inform you that your account has been deactivated, and for your security, we ask you to complete the following verification: <URL>",Spanish,gg.gg,CaixaBank,banking,"authority,time/urgency"
2021-12-02,alphanumeric,,,,"Se ha iniciado sesion desde un nuevo DISPOSITIVO, si no has <NAMED_ENTITY> inmediatamente","A session has been started from a new DEVICE, if it wasn't you verify immediately",Spanish,,,others,"authority,time/urgency"
2021-12-02,phone number,LANDLINE,Bandwidth.com,USA,C.R.A. - Your tax return is Now available. Proceed here :,,English,,cra,government,authority
2021-12-02,phone number,BAD_FORMAT,,,"Your One Time Passcode is <DATE_TIME> for a payment of 415.89 to CURRYS. Ref RB9U If this was NOT you, Please call our dedicated fraud team on <DATE_TIME>",,English,,currys,banking,"authority,time/urgency"
2021-11-21,phone number,LANDLINE,Bandwidth.com,USA,DID YOU ATTEMPT A PURCHASE FOR THE AMOUNT OF $298.88 AT WALMART #<US_DRIVER_LICENSE> IN COLOMBUS OH JUST NOW ? RELPY (Y) FOR YES OR (N) FOR NO.,,English,,walmart,banking,"authority,time/urgency"
2021-11-21,phone number,MOBILE,Bell Mobility,CAN,"You received an e-Transfer. Reply ""info"" for more details.",,English,,,banking,"need and greed,time/urgency"
2021-11-21,alphanumeric,,,,"Dear customer, Your Apple ID is due to expire <DATE_TIME>.",,English,,apple,others,"authority,time/urgency"
2021-11-21,phone number,BAD_FORMAT,,,CARDSTOP-INFO Uw aanmelding is gelukt! <NAMED_ENTITY> blokkade aangevraagd vraag <NAMED_ENTITY>. <URL> /reactiveer,"CARDSTOP-INFO Your registration has been successful! If you have NOT requested a blockade, request your cancellation form here. <URL>",Dutch,,cardstop,banking,"authority,time/urgency"
2021-11-21,alphanumeric,,,,'-) ADVISORY: Your Online Digital Access is under verification please proceed here if your registered mobile number is still active http://bdo-digitalonline <URL>,,English,,bdo,banking,"authority,time/urgency"
2021-11-21,alphanumeric,,,,"Parabns por <NAMED_ENTITY> para um emprego de meio periodo online, 5000BRL por dia, entre em contato comigo WS: <URL> <DATE_TIME>","Congratulations for being selected for a part-time online job, 5000BRL per day, contact me WS: <URL> <DATE_TIME>",Portuguese,,,spam,"need and greed,time/urgency"
2021-11-21,phone number,MOBILE,Digi Mobil,ITA,Il tuo pacco é stato trattenuto presso il nostro centro di spedizione. <NAMED_ENTITY> istruzioni qui: <URL> Auxb8V5,Your package has been held at our shipping center. Please follow the instructions here: <URL> Auxb8V5,Italian,,,delivery,"authority,time/urgency"
2021-11-21,alphanumeric,,,,Am incercat sa va contactam. <NAMED_ENTITY> castigator <NAMED_ENTITY>: 1)M 2) Si - Premiul dvs.:,We tried to contact you. You are the second winner of the <NRP> lottery: 1) M 2) Yes - Your prize:,Romanian,,dedeman,spam,"authority,need and greed"
